la,ld,nf,nd,ns,ent,nrev,rtime,hcmt,self,ndev,age,nuc,app,aexp,rexp,arexp,rrexp,asexp,rsexp,asawr,rsawr
0,2,1,1,1,0.0,1.0,11670.0,2.0,0,5.0,229.0,5.0,2.0,696.0,1161.0,695.0,1159.0,660.0,1079.0,0.3036288470372072,0.4960955443270556
1041,539,15,7,1,0.5415912774450959,13.0,-28109648.0,12.0,0,21.0,155236.93333333332,63.0,2.0,21.0,134.0,21.0,132.0,12.0,121.0,0.06735751295336788,0.6321243523316062
17,1,1,1,1,0.0,2.0,239970.0,5.0,0,5.0,134082.0,5.0,1.0,301.0,87.0,300.0,87.0,4.0,44.0,0.07692307692307693,0.6923076923076923
30,0,4,3,1,0.674934918547124,3.0,266098.0,4.0,0,42.0,244644.75,108.0,2.0,905.0,858.0,905.0,858.0,864.0,711.0,0.3971533516988062,0.3269054178145087
3,3,1,1,1,0.0,1.0,57434.0,2.0,0,43.0,11852.0,111.0,2.0,697.0,457.0,696.0,457.0,661.0,406.0,0.3038090867370353,0.18678292794860027
6,2,1,1,1,0.0,1.0,61045.0,2.0,0,2.0,2317594.0,2.0,2.0,698.0,568.0,697.0,566.0,662.0,492.0,0.30412844036697245,0.2261467889908257
4,0,1,1,1,0.0,3.0,59991.0,8.0,0,20.0,360532.0,24.0,4.0,11.0,989.0,11.0,989.0,7.0,945.0,0.0036680421824850985,0.4337459880788629
3,1,1,1,1,0.0,4.0,1438396.0,8.0,0,24.0,123152.0,48.0,2.0,172.0,186.0,172.0,186.0,149.0,160.0,0.06874427131072411,0.07378551787351054
60,12,4,4,1,0.7375195124860703,4.0,584683.0,7.0,0,74.0,73397.25,275.0,4.0,0.0,1028.0,0.0,1028.0,0.0,977.0,0.0004580852038479157,0.4480073293632616
11,11,2,2,1,0.6840384356390417,5.0,118448.0,5.0,0,48.0,271063.5,134.0,3.0,2.0,1020.0,2.0,1020.0,2.0,969.0,0.0013736263736263735,0.4441391941391941
72,6,7,6,1,0.9137399740790956,2.0,298226.0,4.0,0,103.0,114669.14285714286,475.0,3.0,2.0,1025.0,2.0,1025.0,2.0,975.0,0.0013729977116704805,0.4466819221967964
32,4,2,2,1,0.9910760598382222,2.0,106354.0,5.0,0,53.0,77884.0,288.0,1.0,150.0,173.0,150.0,173.0,37.0,150.0,0.017383348581884717,0.06907593778591034
61,5,4,3,1,0.8256597577347966,2.0,639115.0,7.0,0,8.0,99726.5,13.0,3.0,69.0,92.0,69.0,92.0,2.0,45.0,0.045454545454545456,0.696969696969697
1,1,1,1,1,0.0,1.0,26830.0,5.0,0,63.0,2470.0,300.0,4.0,3.0,521.0,3.0,520.0,3.0,453.0,0.0018289894833104711,0.20759030635573844
4,9,5,3,1,0.93111332105417,2.0,88347.0,4.0,0,11.0,522605.2,26.0,3.0,24.0,957.0,24.0,957.0,19.0,62.0,0.29850746268656714,0.9402985074626866
2,2,1,1,1,0.0,1.0,35406.0,2.0,0,64.0,4270.0,301.0,2.0,4.0,1000.0,4.0,1000.0,4.0,937.0,0.0022851919561243145,0.4287020109689214
504,164,2,2,1,0.5498352980914264,2.0,97344.0,4.0,0,3.0,213394.0,2.0,2.0,4.0,202.0,4.0,202.0,1.0,47.0,0.029411764705882356,0.7058823529411765
2,0,1,1,1,0.0,2.0,606871.0,5.0,0,7.0,13404.0,7.0,2.0,91.0,93.0,91.0,93.0,48.0,48.0,0.7101449275362319,0.7101449275362319
13,5,2,2,1,0.9640787648082291,5.0,72658.0,8.0,0,53.0,18256.0,289.0,2.0,418.0,1491.0,417.0,1490.0,400.0,1419.0,0.18318867062585656,0.648698035632709
10,600,10,4,1,0.7564946582353107,3.0,161246.0,2.0,0,19.0,278724.0,114.0,1.0,803.0,173.0,799.0,172.0,306.0,57.0,0.7090069284064665,0.13394919168591224
64,68,10,3,1,0.7707393346162889,3.0,23107.0,5.0,0,60.0,259292.9,284.0,2.0,419.0,491.0,418.0,491.0,401.0,449.0,0.18356164383561646,0.2054794520547945
21,0,2,2,1,0.4537163391869448,2.0,177786.0,4.0,0,39.0,87557.0,92.0,2.0,52.0,1110.0,52.0,1110.0,48.0,1047.0,0.02236421725239616,0.4783204016430854
16,31,2,2,1,0.4889085914405152,2.0,6876.0,4.0,0,49.0,393550.0,237.0,3.0,328.0,1229.0,328.0,1228.0,295.0,1168.0,0.13503649635036494,0.5333029197080292
9,0,1,1,1,0.0,2.0,-28564440.0,3.0,0,11.0,204328.0,24.0,3.0,134.0,158.0,133.0,158.0,99.0,134.0,0.5154639175257731,0.6958762886597938
1,1,1,1,1,0.0,4.0,5111.0,5.0,0,41.0,151509.0,145.0,2.0,4.0,998.0,4.0,997.0,0.0,920.0,0.0004559963520291838,0.4199726402188783
1,2,1,1,1,0.0,1.0,1335.0,3.0,0,64.0,79492.0,302.0,3.0,701.0,569.0,700.0,569.0,665.0,517.0,0.30355515041020964,0.236098450319052
9,11,2,1,1,1.0,2.0,332821.0,4.0,0,43.0,5628.0,148.0,3.0,702.0,504.0,701.0,501.0,666.0,456.0,0.30387243735763103,0.2082004555808656
30,0,4,3,1,0.674934918547124,1.0,104320.0,3.0,0,43.0,56577.0,110.0,3.0,915.0,749.0,915.0,749.0,873.0,669.0,0.3979963570127504,0.3051001821493625
46,0,4,3,1,0.6045526526064525,2.0,103093.0,2.0,0,43.0,1178.25,111.0,2.0,916.0,712.0,916.0,712.0,874.0,635.0,0.3982703686845699,0.2894856622667273
2,2,1,1,1,0.0,2.0,2480.0,3.0,0,18.0,79630.0,41.0,2.0,302.0,717.0,301.0,716.0,224.0,669.0,0.10236578707916287,0.3048225659690628
3,0,1,1,1,0.0,1.0,4746.0,2.0,0,40.0,112739.0,96.0,2.0,126.0,1026.0,126.0,1026.0,117.0,975.0,0.053660754888585724,0.4438381082310141
129,18,7,5,1,0.9375694411791976,3.0,183738.0,5.0,0,44.0,213264.85714285716,159.0,2.0,4.0,1027.0,4.0,1027.0,2.0,976.0,0.0013636363636363635,0.4440909090909091
11,1,2,2,1,0.6500224216483541,3.0,336544.0,4.0,0,23.0,507975.0,47.0,2.0,22.0,896.0,22.0,895.0,19.0,844.0,0.009086778736937756,0.3839164016356202
12,0,2,2,1,0.6500224216483541,1.0,27431.0,2.0,0,16.0,520297.0,25.0,2.0,303.0,1008.0,302.0,1008.0,225.0,945.0,0.10263396911898276,0.4296094459582198
2,1,1,1,1,0.0,1.0,19694.0,2.0,0,2.0,1490078.0,4.0,2.0,304.0,1268.0,303.0,1268.0,226.0,1180.0,0.10304130730821606,0.5360871538810713
9,2,1,1,1,0.0,2.0,669176.0,3.0,0,13.0,719557.0,32.0,2.0,2.0,169.0,2.0,169.0,2.0,157.0,0.017857142857142856,0.9404761904761904
182,35,8,5,1,0.7289250017212274,11.0,-20317582.0,21.0,0,8.0,600813.125,15.0,2.0,11.0,104.0,11.0,104.0,8.0,98.0,0.04615384615384616,0.5076923076923077
849,0,3,3,1,0.704677794175055,5.0,196099.0,14.0,0,7.0,42826.0,8.0,1.0,1.0,92.0,1.0,92.0,0.0,49.0,0.014285714285714284,0.7142857142857143
22,2,4,3,1,0.8886462923344498,1.0,145088.0,2.0,0,79.0,196241.75,274.0,2.0,9.0,1030.0,9.0,1030.0,8.0,979.0,0.004083484573502722,0.44464609800362975
2,2,2,2,1,1.0,1.0,33467.0,2.0,0,50.0,241502.0,222.0,2.0,177.0,1532.0,177.0,1527.0,154.0,1159.0,0.07029478458049887,0.5260770975056689
5,2,2,1,1,0.9852281360342516,1.0,135089.0,2.0,0,8.0,2398105.0,19.0,2.0,475.0,502.0,475.0,502.0,366.0,460.0,0.16636446056210336,0.2089755213055304
6,7,4,2,1,0.9131226292013046,1.0,135185.0,2.0,0,6.0,2400133.0,8.0,2.0,476.0,503.0,476.0,503.0,367.0,461.0,0.16674218396012688,0.20933393747168105
67,24,2,1,1,0.35056382068186565,1.0,33254.0,2.0,0,3.0,7811441.5,5.0,2.0,477.0,887.0,477.0,882.0,55.0,310.0,0.12903225806451613,0.716589861751152
14,1,1,1,1,0.0,1.0,110524.0,3.0,0,1.0,5813168.0,1.0,2.0,478.0,888.0,478.0,883.0,56.0,311.0,0.1310344827586207,0.7172413793103448
24,1,1,1,1,0.0,1.0,111067.0,5.0,0,1.0,5720686.0,1.0,2.0,479.0,889.0,479.0,884.0,57.0,312.0,0.13302752293577982,0.7178899082568807
38,82,5,2,1,0.6091667363208041,2.0,146378.0,2.0,0,1.0,2615372.0,2.0,2.0,480.0,890.0,480.0,885.0,58.0,313.0,0.13501144164759726,0.7185354691075515
14,16,1,1,1,0.0,1.0,110671.0,4.0,0,2.0,153.0,2.0,2.0,481.0,891.0,481.0,886.0,59.0,314.0,0.136986301369863,0.7191780821917808
130,9,3,3,1,0.6805251135066847,2.0,142197.0,3.0,0,22.0,2570788.666666666,47.0,2.0,5.0,892.0,5.0,887.0,1.0,315.0,0.004555808656036446,0.7198177676537585
2,2,1,1,1,0.0,1.0,19340.0,2.0,0,10.0,2002897.0,17.0,1.0,305.0,811.0,304.0,806.0,63.0,313.0,0.14545454545454545,0.7136363636363636
7,0,2,2,1,0.9852281360342516,3.0,409570.0,5.0,0,60.0,168530.0,157.0,2.0,306.0,1034.0,305.0,1034.0,227.0,983.0,0.1032608695652174,0.44565217391304346
1,1,1,1,1,0.0,2.0,1575911.0,11.0,0,17.0,2009310.0,34.0,2.0,0.0,878.0,0.0,873.0,0.0,318.0,0.002267573696145125,0.7233560090702947
25,2,4,4,1,0.7153783657531014,5.0,939953.0,6.0,0,70.0,134219.0,369.0,2.0,15.0,922.0,15.0,922.0,8.0,744.0,0.004074241738343142,0.33725667722951563
16,0,2,2,1,0.8112781244591328,2.0,307480.0,4.0,0,7.0,3696264.0,9.0,3.0,23.0,422.0,23.0,422.0,20.0,386.0,0.009502262443438913,0.1751131221719457
1,0,1,1,1,0.0,1.0,1191.0,2.0,0,36.0,774808.0,87.0,2.0,59.0,214.0,58.0,214.0,16.0,3.0,0.19318181818181815,0.045454545454545456
22,10,3,3,1,0.886859507142915,1.0,22737.0,3.0,0,62.0,4363.0,194.0,3.0,924.0,507.0,924.0,507.0,882.0,419.0,0.399366802351877,0.1899592944369064
58,4300,49,19,2,0.8044589182623767,6.0,-28473037.0,8.0,0,25.0,312730.74,77.0,2.0,135.0,82.0,134.0,79.0,100.0,67.0,0.5153061224489796,0.3469387755102041
53,4,4,3,1,0.8211976182871183,2.0,12581.0,1.0,0,13.0,161626.0,53.0,1.0,813.0,180.0,808.0,179.0,315.0,64.0,0.7149321266968326,0.14705882352941174
2,0,1,1,1,0.0,1.0,3657.0,1.0,0,10.0,162720.0,28.0,1.0,814.0,181.0,809.0,180.0,316.0,65.0,0.7155756207674944,0.1489841986455982
14,5,2,2,1,0.4854607607459134,2.0,-28502129.0,2.0,0,1.0,773477.0,3.0,2.0,23.0,146.0,23.0,145.0,14.0,110.0,0.07614213197969544,0.5634517766497462
71,2005,14,6,2,0.7577438393864931,2.0,327994.0,5.0,0,76.0,358593.86666666664,248.0,2.0,137.0,1036.0,136.0,1036.0,19.0,985.0,0.009041591320072331,0.44575045207956604
1,1,1,1,1,0.0,2.0,1045189.0,6.0,0,48.0,13066.0,222.0,2.0,128.0,195.0,128.0,195.0,118.0,189.0,0.05377315860822413,0.08585630366018979
26,0,2,2,1,0.3912435636292557,3.0,13773.0,3.0,0,40.0,89330.0,95.0,2.0,54.0,1127.0,54.0,1127.0,50.0,1064.0,0.023035230352303523,0.48102981029810293
25,0,2,2,1,0.4021791902022728,3.0,66883.0,7.0,0,40.0,3282.0,96.0,3.0,17.0,1134.0,17.0,1134.0,7.0,1067.0,0.0036117381489841984,0.4821670428893905
1,1,1,1,1,0.0,1.0,106989.0,5.0,0,18.0,789122.0,41.0,2.0,307.0,897.0,306.0,892.0,64.0,320.0,0.1463963963963964,0.722972972972973
299,138,6,4,1,0.8380825616809542,14.0,343717.0,18.0,0,65.0,95461.66666666669,180.0,3.0,5.0,1306.0,5.0,1299.0,5.0,982.0,0.002707581227436823,0.4435920577617328
75,60,4,4,1,0.6639105047188052,4.0,100132.0,1.0,0,14.0,1243040.0,60.0,1.0,816.0,183.0,811.0,182.0,318.0,67.0,0.7168539325842697,0.15280898876404495
99,7,2,2,1,0.8037159237834125,5.0,322584.0,6.0,0,40.0,5178.0,97.0,2.0,0.0,384.0,0.0,384.0,0.0,350.0,0.0004510599909788002,0.15832205683355885
2,2,1,1,1,0.0,1.0,5064.0,3.0,0,59.0,20215.0,177.0,3.0,339.0,1306.0,339.0,1305.0,306.0,1233.0,0.13841298467087465,0.5563570784490532
543,0,6,3,2,0.7162307415307215,29.0,-26345486.0,34.0,0,36.0,3797.333333333334,88.0,3.0,18.0,158.0,18.0,157.0,10.0,117.0,0.04089219330855018,0.4386617100371748
1,2,1,1,1,0.0,1.0,3083.0,2.0,0,48.0,12652.0,223.0,2.0,743.0,970.0,743.0,968.0,577.0,923.0,0.2604776926543488,0.41640378548895896
122,492,1,1,1,0.0,2.0,79677.0,3.0,0,8.0,3269.0,39.0,1.0,817.0,184.0,812.0,183.0,319.0,68.0,0.7174887892376681,0.1547085201793722
15,0,2,2,1,0.5665095065529053,1.0,1746.0,3.0,0,41.0,3843.0,98.0,2.0,19.0,1006.0,19.0,1006.0,8.0,949.0,0.004054054054054054,0.427927927927928
5,4,3,3,1,0.9656336071428252,1.0,-28460180.0,2.0,0,14.0,115495.0,30.0,2.0,139.0,103.0,138.0,103.0,103.0,91.0,0.5226130653266332,0.4623115577889447
35,220,2,2,1,0.9812708264352998,2.0,405898.0,4.0,0,5.0,213634.0,10.0,2.0,308.0,98.0,307.0,98.0,5.0,50.0,0.08450704225352113,0.7183098591549296
52,0,3,3,1,0.7684534748408711,3.0,258807.0,4.0,0,68.0,122898.0,374.0,2.0,229.0,546.0,229.0,545.0,220.0,431.0,0.0995047276001801,0.1945069788383611
2,2,2,2,1,1.0,2.0,-28425580.0,2.0,0,4.0,327969.0,7.0,2.0,25.0,113.0,25.0,113.0,16.0,106.0,0.085,0.535
1,1,1,1,1,0.0,3.0,-28339951.0,8.0,0,3.0,2770210.0,3.0,2.0,105.0,76.0,105.0,76.0,99.0,69.0,0.4975124378109453,0.3482587064676617
720,46,22,12,1,0.7495913207257523,7.0,3562905.0,21.0,0,93.0,136975.31818181818,387.0,6.0,15.0,986.0,14.0,985.0,7.0,900.0,0.0036003600360036,0.4054905490549055
1176,37,20,11,1,0.7329566788613008,7.0,3562905.0,21.0,0,16.0,253021.25,36.0,6.0,14.0,985.0,14.0,985.0,4.0,67.0,0.06944444444444445,0.9444444444444444
24,3,4,3,1,0.7973512087723302,2.0,19463.0,1.0,0,13.0,93445.5,56.0,1.0,818.0,185.0,812.0,184.0,320.0,69.0,0.7181208053691275,0.15659955257270694
87,50,2,2,1,0.5612294270509872,1.0,42738.0,1.0,0,12.0,1405.0,51.0,1.0,186.0,819.0,185.0,813.0,70.0,321.0,0.15848214285714285,0.71875
16,4,4,4,1,0.6783898247235197,1.0,22130.0,1.0,0,10.0,1999264.0,38.0,1.0,820.0,187.0,814.0,186.0,322.0,71.0,0.7193763919821826,0.1603563474387528
2,1,2,2,1,0.9182958340544896,1.0,-28293144.0,3.0,0,11.0,635501.5,17.0,3.0,54.0,216.0,54.0,215.0,49.0,167.0,0.2475247524752475,0.8316831683168316
21,4,4,3,1,0.6852822164516169,4.0,-28291028.0,4.0,0,4.0,359665.0,7.0,3.0,20.0,214.0,20.0,213.0,19.0,166.0,0.09852216748768472,0.8226600985221675
5,1,1,1,1,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
162,93,8,3,1,0.6735434319316521,4.0,-28291066.0,9.0,0,9.0,8729.0,17.0,3.0,142.0,129.0,141.0,129.0,106.0,114.0,0.5245098039215687,0.5637254901960784
62,9,2,2,1,0.9929768866085174,4.0,-28225455.0,7.0,0,13.0,449964.5,35.0,2.0,55.0,103.0,55.0,103.0,50.0,89.0,0.24878048780487805,0.4390243902439024
13,12,1,1,1,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
68,57,12,8,1,0.9053068259839973,2.0,20670.0,3.0,0,98.0,38630.0,663.0,2.0,705.0,603.0,704.0,602.0,669.0,495.0,0.3013945119208277,0.22312190733243364
599,0,2,2,1,0.9825411724883396,2.0,2279261.0,6.0,0,4.0,296121.0,3.0,4.0,5.0,103.0,5.0,103.0,2.0,53.0,0.0410958904109589,0.7397260273972602
311,14,7,4,1,0.5654809133301529,5.0,-28224505.0,21.0,0,21.0,8876.0,61.0,2.0,1.0,99.0,1.0,99.0,1.0,88.0,0.009708737864077669,0.4320388349514563
513,261,2,2,1,0.5796185468614117,6.0,317088.0,3.0,0,3.0,523216.0,3.0,2.0,3.0,102.0,3.0,102.0,2.0,53.0,0.040540540540540536,0.7297297297297297
75,138,2,2,1,0.3315314310672507,1.0,3657.0,2.0,0,2.0,56949.0,1.0,2.0,11.0,985.0,11.0,985.0,7.0,69.0,0.10666666666666667,0.9333333333333332
238,0,3,2,1,0.5844607330366405,3.0,191658.0,6.0,0,2.0,767695.6666666665,2.0,2.0,4.0,103.0,4.0,103.0,3.0,56.0,0.05263157894736842,0.75
19,0,2,2,1,0.4854607607459134,1.0,41367.0,2.0,0,41.0,150971.0,99.0,2.0,934.0,641.0,934.0,640.0,890.0,616.0,0.4006294964028777,0.27742805755395683
43,8,5,3,1,0.789000447643847,1.0,35582.0,1.0,0,14.0,72565.0,67.0,1.0,821.0,188.0,815.0,187.0,323.0,72.0,0.72,0.1622222222222222
42,5,5,3,1,0.8465859340262805,1.0,79240.0,3.0,0,14.0,1881016.4,63.0,1.0,822.0,189.0,816.0,188.0,324.0,73.0,0.720620842572062,0.16407982261640802
9,9,3,1,1,0.9656336071428252,2.0,2237335.0,3.0,0,7.0,569440.6666666665,9.0,4.0,493.0,1183.0,491.0,1182.0,41.0,71.0,0.5454545454545454,0.935064935064935
9,9,3,1,1,0.9656336071428252,2.0,2237335.0,3.0,0,18.0,213077.3333333333,28.0,4.0,492.0,1182.0,491.0,1182.0,371.0,1076.0,0.16719101123595506,0.4840449438202247
172,0,3,3,1,0.5546664485350029,9.0,1003257.0,9.0,0,15.0,445068.0,27.0,5.0,937.0,1810.0,937.0,1809.0,892.0,1526.0,0.4011680143755616,0.6859838274932615
72,24,4,4,1,0.8474360642594281,2.0,38531.0,5.0,0,84.0,189973.5,458.0,2.0,425.0,633.0,424.0,628.0,407.0,558.0,0.18320610687022898,0.25101032779524024
20,7,6,4,1,0.9242581183585478,4.0,-28231129.0,6.0,0,13.0,97335.0,47.0,2.0,21.0,105.0,21.0,105.0,12.0,91.0,0.06280193236714976,0.4444444444444444
605,17,17,10,1,0.6693812790434239,12.0,1223698.0,19.0,0,98.0,14163.882352941177,434.0,2.0,0.0,1137.0,0.0,1136.0,0.0,876.0,0.00044883303411131066,0.39362657091561937
76,13,1,1,1,0.0,4.0,-28223030.0,4.0,0,11.0,14811.0,31.0,3.0,143.0,120.0,142.0,120.0,107.0,108.0,0.5192307692307693,0.5240384615384616
60,6,4,2,1,0.8177359357004444,1.0,-28251851.0,3.0,0,4.0,2406418.5,6.0,3.0,109.0,174.0,109.0,173.0,103.0,128.0,0.4976076555023923,0.6172248803827751
2357,0,17,3,1,0.8486411318990877,7.0,268571.0,17.0,0,0.0,0.0,0.0,4.0,1.0,1412.0,1.0,1410.0,0.0,1289.0,0.0004486316733961418,0.5787348586810229
1,1,1,1,1,0.0,1.0,2360.0,2.0,0,12.0,1351287.0,28.0,2.0,76.0,1524.0,76.0,1523.0,75.0,1449.0,0.034080717488789235,0.6502242152466368
4,1,1,1,1,0.0,1.0,8899.0,2.0,0,6.0,720372.0,7.0,2.0,141.0,34.0,141.0,34.0,131.0,32.0,0.7810650887573964,0.1952662721893491
360,52,10,7,1,0.5807679494275014,4.0,-28250598.0,13.0,0,24.0,48730.8,83.0,1.0,87.0,26.0,87.0,26.0,77.0,22.0,0.37142857142857133,0.10952380952380952
2,2,1,1,1,0.0,1.0,87807.0,2.0,0,60.0,15782.0,180.0,2.0,310.0,1251.0,309.0,1250.0,229.0,1112.0,0.10309278350515463,0.4988794262662483
6,2,1,1,1,0.0,1.0,2821.0,3.0,0,64.0,36490.0,305.0,2.0,77.0,975.0,77.0,973.0,76.0,928.0,0.034498207885304666,0.4162186379928315
6,0,1,1,1,0.0,1.0,4975.0,2.0,0,8.0,173436.0,7.0,2.0,15.0,946.0,14.0,945.0,9.0,34.0,0.1282051282051282,0.4487179487179487
6,0,1,1,1,0.0,1.0,80116.0,2.0,0,20.0,173436.0,28.0,2.0,14.0,1252.0,14.0,1251.0,3.0,1113.0,0.0017913121361397227,0.4988804299149127
48,35,3,2,1,0.7912215711471097,2.0,165283.0,5.0,0,50.0,489492.66666666674,215.0,3.0,708.0,760.0,707.0,754.0,672.0,659.0,0.301253357206804,0.2954341987466428
4,4,2,2,1,0.8112781244591328,1.0,12072.0,3.0,0,8.0,176636.0,11.0,3.0,345.0,842.0,345.0,832.0,311.0,550.0,0.1395973154362416,0.2465324384787472
132,65,5,3,1,0.9115217155248094,3.0,179750.0,6.0,0,90.0,207137.4,311.0,2.0,0.0,1029.0,0.0,1029.0,0.0,978.0,0.00044722719141323787,0.43783542039356
1,1,1,1,1,0.0,1.0,4038.0,4.0,0,6.0,3971849.0,15.0,3.0,79.0,1231.0,79.0,1229.0,78.0,1154.0,0.03531515422440769,0.5163164953062137
1015,0,4,2,1,0.950312230747274,3.0,197083.0,4.0,0,0.0,0.0,0.0,2.0,6.0,106.0,6.0,106.0,3.0,58.0,0.05063291139240506,0.7468354430379747
1,1,1,1,1,0.0,2.0,39202.0,5.0,0,27.0,146814.0,53.0,2.0,80.0,891.0,80.0,890.0,79.0,847.0,0.035746201966041107,0.37890974084003576
87,0,2,2,1,0.7973265101474423,4.0,172050.0,7.0,0,54.0,4400.5,133.0,2.0,7.0,1057.0,7.0,1057.0,3.0,1002.0,0.001786511835640911,0.4479678427869585
23,5,1,1,1,0.0,8.0,585141.0,12.0,0,7.0,3568136.0,9.0,2.0,13.0,1173.0,13.0,1167.0,4.0,337.0,0.011061946902654869,0.7477876106194691
56,8,1,1,1,0.0,2.0,2270309.0,5.0,0,8.0,16239.0,8.0,3.0,503.0,1196.0,501.0,1195.0,44.0,74.0,0.5625,0.9375
56,8,1,1,1,0.0,2.0,2270309.0,5.0,0,20.0,16239.0,29.0,3.0,502.0,1195.0,501.0,1195.0,376.0,1088.0,0.16830357142857144,0.4861607142857143
2,0,1,1,1,0.0,2.0,-28194095.0,5.0,0,6.0,54842.0,13.0,2.0,56.0,162.0,56.0,162.0,51.0,146.0,0.2464454976303317,0.6966824644549763
16,0,1,1,1,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,6,4,4,1,0.8962406251802889,1.0,3896.0,2.0,0,50.0,21216.0,242.0,2.0,14.0,524.0,14.0,524.0,14.0,480.0,0.0066934404283801865,0.214636323070058
373,226,3,2,2,0.9260663447568012,5.0,2593715.0,17.0,0,18.0,560172.0,30.0,6.0,561.0,694.0,560.0,693.0,405.0,533.0,0.1810883140053524,0.2381801962533452
366,218,3,2,2,0.9102564390436332,5.0,2593715.0,17.0,0,4.0,333732.5,5.0,6.0,562.0,695.0,560.0,693.0,73.0,66.0,0.9135802469135802,0.8271604938271605
6,337,7,2,1,0.5638627015387144,1.0,-28205816.0,2.0,0,18.0,3044412.1428571427,34.0,2.0,29.0,125.0,29.0,125.0,20.0,114.0,0.09905660377358493,0.5424528301886793
21,1,4,3,1,0.7164641543643059,3.0,-28109476.0,12.0,0,20.0,20724.5,54.0,2.0,30.0,164.0,30.0,164.0,21.0,148.0,0.10328638497652584,0.6995305164319249
5,3,3,2,1,0.6021808102656679,1.0,-28166542.0,2.0,0,4.0,60391.0,7.0,2.0,0.0,127.0,0.0,127.0,0.0,116.0,0.004672897196261682,0.5467289719626168
9,7,4,4,1,0.5931390622295665,2.0,103231.0,3.0,0,16.0,391900.0,81.0,1.0,824.0,190.0,818.0,189.0,326.0,74.0,0.7218543046357616,0.16556291390728478
179,35,10,10,1,0.8304501182029453,16.0,3414322.0,25.0,0,94.0,50704.3,544.0,2.0,0.0,1260.0,0.0,1259.0,0.0,1118.0,0.00044583147570218456,0.4988854213107445
2,0,1,1,1,0.0,2.0,-28146497.0,5.0,0,11.0,24155.0,34.0,3.0,90.0,165.0,90.0,163.0,80.0,146.0,0.3767441860465116,0.6837209302325581
54,18,8,7,1,0.7711336951742164,6.0,459721.0,3.0,0,80.0,59987.0,377.0,2.0,2.0,1062.0,2.0,1062.0,2.0,1006.0,0.001336898395721925,0.4487522281639929
72,13,3,2,1,0.8778606852355191,2.0,868527.0,3.0,0,52.0,508.0,214.0,2.0,1.0,927.0,1.0,927.0,1.0,749.0,0.0008908685968819599,0.33407572383073497
0,62,29,15,1,0.9208980411368426,1.0,139570.0,3.0,0,13.0,288252.7586206897,34.0,2.0,4.0,125.0,4.0,125.0,3.0,71.0,0.04878048780487805,0.8780487804878049
2,0,2,2,1,1.0,1.0,-28161528.0,2.0,0,4.0,386749.0,6.0,2.0,115.0,112.0,115.0,112.0,109.0,98.0,0.5092592592592593,0.4583333333333333
4,7,1,1,1,0.0,1.0,4963.0,2.0,0,6.0,5360147.0,8.0,2.0,81.0,744.0,81.0,743.0,80.0,612.0,0.036064113980409616,0.27292965271593944
12,53,4,4,1,0.5827618564223839,1.0,-28157577.0,2.0,0,20.0,396749.0,51.0,2.0,31.0,216.0,31.0,215.0,29.0,176.0,0.1382488479262673,0.8156682027649771
5,0,1,1,1,0.0,1.0,12115.0,3.0,0,10.0,4754350.0,15.0,3.0,825.0,440.0,819.0,438.0,327.0,90.0,0.7224669603524229,0.20044052863436124
181,63,10,3,2,0.8008727620412731,12.0,-26758108.0,28.0,0,38.0,3433048.1,93.0,2.0,0.0,166.0,0.0,165.0,0.0,134.0,0.0034602076124567475,0.4671280276816609
2,2,1,1,1,0.0,1.0,1849.0,3.0,0,65.0,19805.0,307.0,3.0,949.0,630.0,949.0,629.0,902.0,517.0,0.4018691588785047,0.2305295950155763
35,16,2,2,1,0.3966277727783789,3.0,3015644.0,13.0,0,2.0,209119.0,2.0,3.0,20.0,1638.0,20.0,1632.0,12.0,77.0,0.1566265060240964,0.9397590361445785
48,27,3,2,1,0.7229035284340657,3.0,3015644.0,13.0,0,20.0,153512.0,41.0,3.0,21.0,1639.0,20.0,1632.0,6.0,1193.0,0.0031138790035587192,0.5311387900355872
195,7,4,2,1,0.6883334876835974,4.0,3031446.0,14.0,0,14.0,57361.5,22.0,2.0,23.0,1010.0,22.0,1009.0,13.0,78.0,0.16666666666666666,0.9404761904761904
194,6,3,2,1,0.8262001383127107,4.0,3031446.0,14.0,0,25.0,114213.0,45.0,2.0,22.0,1009.0,22.0,1009.0,7.0,915.0,0.0035571365051133845,0.4072921298354825
0,3,1,1,1,0.0,3.0,256962.0,6.0,0,27.0,25141.0,55.0,2.0,3.0,998.0,3.0,998.0,3.0,948.0,0.001777777777777778,0.42177777777777775
4,0,1,1,1,0.0,1.0,5671.0,3.0,0,65.0,7186.0,308.0,2.0,315.0,1144.0,314.0,1144.0,232.0,1080.0,0.10350955131052864,0.480231008440693
0,3,1,1,1,0.0,1.0,25595.0,2.0,0,61.0,64680.0,182.0,2.0,4.0,1070.0,4.0,1070.0,4.0,1012.0,0.0022202486678507987,0.449822380106572
